,id,genre_ids,name
14477,13549,27,Horror
14478,13549,53,Thriller
14479,13549,9648,Mystery
14480,38386,35,Comedy
14481,621954,18,Drama
14482,621954,37,Western
14483,1157810,,
14484,419114,10749,Romance
14485,419114,18,Drama
14486,141521,16,Animation
14487,141521,878,Science Fiction
14488,141521,28,Action
14489,141521,12,Adventure
14490,567811,16,Animation
14491,567811,35,Comedy
14492,567811,10751,Family
14493,567811,14,Fantasy
14494,226124,35,Comedy
14495,43316,18,Drama
14496,43316,10749,Romance
14497,33474,35,Comedy
14498,33474,12,Adventure
14499,303533,99,Documentary
14500,137746,27,Horror
14501,782044,18,Drama
14502,782044,53,Thriller
14503,1029445,18,Drama
14504,1215798,53,Thriller
14505,1215798,18,Drama
14506,248412,28,Action
14507,248412,12,Adventure
14508,248412,37,Western
14509,169091,18,Drama
14510,169091,35,Comedy
14511,33,37,Western
14512,185352,28,Action
14513,185352,12,Adventure
14514,185352,10751,Family
14515,1509574,99,Documentary
14516,1259,18,Drama
14517,1259,10749,Romance
14518,53064,16,Animation
14519,53064,18,Drama
14520,53064,27,Horror
14521,53064,10749,Romance
14522,1027385,53,Thriller
14523,1027385,27,Horror
14524,153104,9648,Mystery
14525,153104,18,Drama
14526,153104,10749,Romance
14527,153104,53,Thriller
14528,450001,28,Action
14529,450001,80,Crime
14530,450001,18,Drama
14531,146028,28,Action
14532,146028,27,Horror
14533,146028,878,Science Fiction
14534,146028,10770,TV Movie
14535,989909,28,Action
14536,989909,18,Drama
14537,13455,878,Science Fiction
14538,13455,28,Action
14539,13455,12,Adventure
14540,13455,53,Thriller
14541,808090,27,Horror
14542,808090,9648,Mystery
14543,808090,53,Thriller
14544,272874,18,Drama
14545,272874,14,Fantasy
14546,627655,35,Comedy
14547,627655,18,Drama
14548,627655,10749,Romance
14549,9954,14,Fantasy
14550,9954,27,Horror
14551,9954,12,Adventure
14552,9954,28,Action
14553,773,35,Comedy
14554,773,18,Drama
14555,366110,35,Comedy
14556,366110,10751,Family
14557,366110,27,Horror
14558,15267,10752,War
14559,15267,18,Drama
14560,1455480,10402,Music
14561,253935,18,Drama
14562,253935,878,Science Fiction
14563,26390,80,Crime
14564,26390,18,Drama
14565,26390,53,Thriller
14566,259945,18,Drama
14567,259945,53,Thriller
14568,259945,10770,TV Movie
14569,1229030,,
14570,231622,10770,TV Movie
14571,231622,9648,Mystery
14572,1005860,27,Horror
14573,1005860,53,Thriller
14574,1005860,9648,Mystery
14575,1119319,37,Western
14576,289153,35,Comedy
14577,289153,10749,Romance
14578,1242466,18,Drama
14579,625846,10402,Music
14580,509850,80,Crime
14581,509850,28,Action
14582,44048,28,Action
14583,44048,53,Thriller
14584,137217,14,Fantasy
14585,137217,9648,Mystery
14586,137217,18,Drama
14587,317389,12,Adventure
14588,273238,53,Thriller
14589,273238,28,Action
14590,273238,80,Crime
14591,1439001,53,Thriller
14592,1072890,28,Action
14593,1072890,14,Fantasy
14594,1900,53,Thriller
14595,1900,18,Drama
14596,1900,80,Crime
14597,12242,16,Animation
14598,12242,35,Comedy
14599,12242,10751,Family
14600,12242,28,Action
14601,177987,18,Drama
14602,177987,10749,Romance
14603,625323,99,Documentary
14604,631909,10749,Romance
